Product Code,Description,Creditor Code,Creditor Name,Supplier Cost Date,Supplier Cost,"Additional
Cost Bs",Latest Cost Bs,Supplier Standard Cost,Minimum Order Quantity,Vendors Code,"Lead
Time","Time
Unit","Last
Receipt",Default
#70030,GP Box Board 484G 0760x1020 Lg,BAL2,B.J. Ball Papers,31/10/2018,$0.742,$0.275,$1.017,$0.742,,,2,Weeks,31/10/2018,1
#CLOTH-9,Rolls of Superfibre Cloth,HEAL,HEALTH PAK LTD,29/10/2013,$0.000,$15.088,$15.088,$0.000,,,,Days,29/10/2013,0
#CLOTH-9,Rolls of Superfibre Cloth,OPTICA,OPTICA,,,,,,,,,,,1
#CLOTH-9,Rolls of Superfibre Cloth,SHEN1,Sheng Hung Industrial Co. Ltd.,30/05/2014,$1.008,$0.003,$1.011,$0.800,,WM-3080 WHITE (PER METRE),,Weeks,29/12/2006,0
#LABEL,Self Adhesive Labels Stock,CUS2,CUSTOM CUTTING FORMES LTD,30/11/2018,$0.357,$0.000,$0.357,$0.339,,,3,Weeks,30/11/2018,1
#SP120,Blocks of Super-fibre Cloth 240x255,OPTICA,OPTICA,,,,,,,,,,,1
#SP130,Blocks of Super-fibre Cloth 260x260,OPTICA,OPTICA,,,,,,,,,,,1
#SP135,Blocks of Super-fibre Cloth 270x255,OPTICA,OPTICA,,,,,,,,,,,1
00238123,Prosafe Underground Lens Cleaning Towelette (100),EASYCUSD,"Easyclean Co.,Ltd",5/07/2019,$2.850,$0.000,$4.263,$2.850,,PUNDBOX0719,,Weeks,,1
01581773,Para'Kito Mosquito Prot Band & Pellet - Black,EVERGUSD,Evergreen Land,10/08/2018,$5.450,$1.461,$9.692,$5.450,,INWB01A,4,Weeks,10/08/2018,1
01581790,Para'Kito Mosquito Prot Pellet Refills PK2 -25box,EVERG,Evergreen Land,4/05/2018,$4.273,$0.750,$5.023,$3.200,,BXREF50,4,Weeks,4/05/2018,0
01581790,Para'Kito Mosquito Prot Pellet Refills PK2 -25box,EVERGUSD,Evergreen Land,20/06/2019,$3.200,$0.108,$5.001,$3.200,,BXREF50,4,Weeks,20/06/2019,1
03422295,Prosafe Pack Wipes Mitywipe AF Cleaner SCT40 (100),EASYC,"Easyclean Co.,Ltd",26/04/2018,$3.098,$0.000,$3.098,$2.190,,SCT40-100,,Weeks,26/04/2018,0
03422295,Prosafe Pack Wipes Mitywipe AF Cleaner SCT40 (100),EASYCUSD,"Easyclean Co.,Ltd",14/02/2019,$2.190,$0.000,$3.216,$2.190,,SCT40-100,12,Weeks,14/02/2019,1
03792044,(CHA) Prosafe MITYWIPE Towelettes x300 (SACT40),EASYC,"Easyclean Co.,Ltd",31/03/2016,$9.692,$0.000,$9.692,$0.000,,SACT40,,Weeks,26/04/2018,0
03792044,(CHA) Prosafe MITYWIPE Towelettes x300 (SACT40),EASYCUSD,"Easyclean Co.,Ltd",18/06/2019,$6.450,$0.000,$9.932,$6.450,,PSMWBOX1118,12,Weeks,18/06/2019,1
03989908,Prosafe 200ml Lens Cleaner Spray Pump,EASYC,"Easyclean Co.,Ltd",30/04/2018,$1.073,$0.000,$1.073,$0.760,,200ML-28/410,12,Weeks,30/04/2018,0
03989908,Prosafe 200ml Lens Cleaner Spray Pump,EASYCUSD,"Easyclean Co.,Ltd",18/06/2019,$0.760,$0.000,$1.170,$0.760,,PS200LBL1118,12,Weeks,18/06/2019,1
07169264,(CHA) Prosafe LENS CLEANER Mini Towelettes x500 (UWIPE),EASYCUSD,"Easyclean Co.,Ltd",18/06/2019,$8.610,$0.000,$13.258,$8.610,,PSUWBOX1118,12,Weeks,18/06/2019,1
10MPBG,100mm Bright Green Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MPBRO,100mm Bright Orange Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MPG,100mm Forest Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MPGD,100mm Gold Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MPM,100mm Mauve Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MPN,100mm Blue Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MPOS,Master: 100mm Screen Printed M/C,CMAUSD,CMA Global,,,,,,,,,,,1
10MPOSW-TRUSHAMI,Truscot Hamilton Thompson  140x100mm White screen print M/C,CMAUSD,CMA Global,2/07/2019,$0.200,$0.070,$0.370,$0.200,,10MPOSW-TRUSHAMI,3,Weeks,2/07/2019,1
10MPS,100mm Silver Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MPT,100mm Teal Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MPW,100mm White Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MUBG,100mm Bright Green Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MUGD,100mm Gold Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MUK,100mm Black Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MUM,100mm Mauve Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MUN,100mm Blue Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MUS,100mm Silver Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MUT,100mm Teal Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MUW,100mm White Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
120SP,120x85mm Case Cloths Printed,OPTICA,OPTICA,,,,,,,,,,,1
120SU,120x85mm Case Cloths Unprinted,OPTICA,OPTICA,,,,,,,,,,,1
135SP,135x85mm Nonwoven Microcloth Printed,OPTICA,OPTICA,,,,,,,,,,,1
135SU,135x85mm Case Cloths Unprinted,OPTICA,OPTICA,,,,,,,,,,,1
15MPBG,150mm Bright Green Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
15MPBRO,150mm Bright Orange Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
15MPG,150mm Forest Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
15MPGD,150mm Gold Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
15MPM,150mm Mauve Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
15MPMENAIPV,Menai 150x140mm Blue Screen Print M/F Cloth w/ Silicon Back,CMAUSD,CMA Global,26/06/2018,$0.339,$0.078,$0.569,$0.280,,MKA-BLUE 10/14X15CM/Z.Z.CUT,3,Weeks,26/06/2018,0
15MPMENAIPV,Menai 150x140mm Blue Screen Print M/F Cloth w/ Silicon Back,OPTICA,OPTICA,,,,,,,,,,,1
15MPN,150mm Blue Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
15MPN-WINDSORAUD,Windsor Silicon Back 150x140 Mauve Screen Print M/F Cloth,CMAUSD,CMA Global,15/10/2018,$0.420,$0.054,$0.699,$0.420,,150X140MM MKA10,3,Weeks,15/10/2018,0
15MPN-WINDSORAUD,Windsor Silicon Back 150x140 Mauve Screen Print M/F Cloth,OPTICA,OPTICA,,,,,,,,,,,1
15MPOS,Master: 150mm Screen Printed M/C,CMAUSD,CMA Global,,,,,,,,,,,1
15MPOST-RMOPTTWPV,Sankey Fraser 140x150mm Teal Screen Printed M/C,CMAUSD,CMA Global,19/02/2019,$0.216,$0.100,$0.415,$0.220,,NT5 TEAL,4,Weeks,19/02/2019,1
15MPOSW-TWOPTAUD,Trevor Ward 140x150mm White Screen Printed M/C,CMAUSD,CMA Global,28/12/2018,$0.240,$0.080,$0.434,$0.000,,,,Weeks,28/12/2018,1
15MPS,150mm Silver Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
15MPSOS-LOBBOPT,Lobb & Assoc 150x140 Silver Screen Print M/F Cloth,CMAUSD,CMA Global,2/07/2019,$0.240,$0.070,$0.430,$0.240,,MKA10 150X140 ZIG ZAG,3,Weeks,2/07/2019,1
